FlightDate,c
2013-01-01,13.2249802994484
2013-01-02,12.2812620876388
2013-01-03,11.6184818110148
2013-01-04,8.00090507976015
2013-01-05,9.39010241352145
2013-01-06,9.09714111922141
2013-01-07,6.50362152218901
2013-01-08,7.35759242285365
2013-01-09,6.8671082468075
2013-01-10,7.0399128340406
2013-01-11,9.17360196897716
2013-01-12,7.90618912033568
2013-01-13,13.0899001798004
2013-01-14,9.49858061525983
2013-01-15,6.12058913777232
2013-01-16,12.2872690306763
2013-01-17,7.75433758474089
2013-01-18,7.82789283460501
2013-01-19,5.16068453733152
2013-01-20,10.9483993952541
2013-01-21,9.8289627721845
2013-01-22,8.39282423050931
2013-01-23,8.81392147474264
2013-01-24,13.2494972131242
2013-01-25,15.6306844281121
2013-01-26,8.97385079125848
2013-01-27,12.1563916309679
2013-01-28,11.3064160575473
2013-01-29,11.7571384709856
2013-01-30,20.9320126877731
2013-01-31,13.9057405281286
