OriginCityName,DestCityName,c
"Las Vegas NV","Little Rock AR",31
"Las Vegas NV","Louisville KY",31
"Las Vegas NV","Raleigh/Durham NC",31
"Las Vegas NV","Tampa FL",31
"Las Vegas NV","Tulsa OK",31
"Lihue HI","Oakland CA",31
"Lihue HI","San Jose CA",31
"Little Rock AR","Baltimore MD",31
"Little Rock AR","Las Vegas NV",31
"Little Rock AR","Phoenix AZ",31
"Long Beach CA","Austin TX",31
"Los Angeles CA","Eagle CO",31
"Los Angeles CA","Jackson WY",31
"Los Angeles CA","Milwaukee WI",31
"Louisville KY","Las Vegas NV",31
"Louisville KY","Phoenix AZ",31
"Louisville KY","Tampa FL",31
"Louisville KY","Washington DC",31
"Mammoth Lakes CA","San Diego CA",31
"Manchester NH","Denver CO",31
"Manchester NH","Fort Lauderdale FL",31
"Manchester NH","Tampa FL",31
"Manchester NH","Washington DC",31
"Memphis TN","Miami FL",31
"Miami FL","Eagle CO",31
"Miami FL","Hartford CT",31
"Miami FL","Memphis TN",31
"Miami FL","Richmond VA",31
"Miami FL","Seattle WA",31
"Milwaukee WI","Fort Lauderdale FL",31
"Milwaukee WI","Los Angeles CA",31
"Minneapolis MN","Alpena MI",31
"Minneapolis MN","International Falls MN",31
"Minneapolis MN","Pasco/Kennewick/Richland WA",31
"Monterey CA","Denver CO",31
"Montrose/Delta CO","Chicago IL",31
"Montrose/Delta CO","Dallas/Fort Worth TX",31
"Myrtle Beach SC","Newark NJ",31
"Nashville TN","Boston MA",31
"Nashville TN","Charleston SC",31
"Nashville TN","Greer SC",31
"Nashville TN","Norfolk VA",31
"Nashville TN","Salt Lake City UT",31
"Nashville TN","San Diego CA",31
"New Orleans LA","Boston MA",31
"New Orleans LA","Kansas City MO",31
"New Orleans LA","Phoenix AZ",31
"New Orleans LA","Salt Lake City UT",31
"New York NY","Eagle CO",31
"New York NY","Honolulu HI",31
"New York NY","Ponce PR",31
"Newark NJ","Aguadilla PR",31
"Newark NJ","Eagle CO",31
"Newark NJ","Honolulu HI",31
"Newark NJ","Myrtle Beach SC",31
"Newark NJ","Philadelphia PA",31
"Newark NJ","Salt Lake City UT",31
"Newburgh/Poughkeepsie NY","Fort Lauderdale FL",31
"Nome AK","Kotzebue AK",31
"Norfolk VA","Houston TX",31
"Norfolk VA","Nashville TN",31
"Norfolk VA","Tampa FL",31
"North Bend/Coos Bay OR","San Francisco CA",31
"Oakland CA","Kona HI",31
"Oakland CA","Lihue HI",31
"Oklahoma City OK","Baltimore MD",31
"Ontario CA","Chicago IL",31
"Orlando FL","Dayton OH",31
"Orlando FL","Grand Rapids MI",31
"Orlando FL","Greer SC",31
"Orlando FL","Jackson/Vicksburg MS",31
"Orlando FL","Key West FL",31
"Orlando FL","Rochester NY",31
"Orlando FL","San Antonio TX",31
"Palm Springs CA","Houston TX",31
"Palm Springs CA","Portland OR",31
"Pasco/Kennewick/Richland WA","Minneapolis MN",31
"Pasco/Kennewick/Richland WA","San Francisco CA",31
"Petersburg AK","Juneau AK",31
"Petersburg AK","Wrangell AK",31
"Philadelphia PA","Austin TX",31
"Philadelphia PA","Hartford CT",31
"Philadelphia PA","San Antonio TX",31
"Philadelphia PA","Washington DC",31
"Phoenix AZ","Buffalo NY",31
"Phoenix AZ","Little Rock AR",31
"Phoenix AZ","Louisville KY",31
"Phoenix AZ","New Orleans LA",31
"Ponce PR","New York NY",31
"Portland ME","Charlotte NC",31
"Portland OR","Boston MA",31
"Portland OR","Kansas City MO",31
"Portland OR","Klamath Falls OR",31
"Portland OR","Palm Springs CA",31
"Providence RI","Denver CO",31
"Raleigh/Durham NC","Denver CO",31
"Raleigh/Durham NC","Las Vegas NV",31
"Raleigh/Durham NC","San Francisco CA",31
"Raleigh/Durham NC","St. Louis MO",31
"Rapid City SD","Dallas/Fort Worth TX",31
"Reno NV","Seattle WA",31
"Richmond VA","Fort Lauderdale FL",31
"Richmond VA","Miami FL",31
"Rochester MN","Chicago IL",31
"Rochester NY","Charlotte NC",31
"Rochester NY","Tampa FL",31
"Rock Springs WY","Gillette WY",31
"Sacramento CA","Honolulu HI",31
"Sacramento CA","Kahului HI",31
"Salt Lake City UT","Cody WY",31
"Salt Lake City UT","Fargo ND",31
"Salt Lake City UT","Honolulu HI",31
"Salt Lake City UT","Indianapolis IN",31
"Salt Lake City UT","Nashville TN",31
"Salt Lake City UT","New Orleans LA",31
"San Antonio TX","Harlingen/San Benito TX",31
"San Antonio TX","Orlando FL",31
"San Antonio TX","Philadelphia PA",31
"San Antonio TX","Seattle WA",31
"San Antonio TX","Washington DC",31
"San Diego CA","El Paso TX",31
"San Diego CA","Kahului HI",31
"San Diego CA","Kansas City MO",31
"San Diego CA","Mammoth Lakes CA",31
"San Diego CA","Nashville TN",31
"San Francisco CA","Baltimore MD",31
"San Francisco CA","Colorado Springs CO",31
"San Francisco CA","Klamath Falls OR",31
"San Francisco CA","North Bend/Coos Bay OR",31
"San Francisco CA","Pasco/Kennewick/Richland WA",31
"San Francisco CA","Raleigh/Durham NC",31
"San Jose CA","Kona HI",31
"San Jose CA","Lihue HI",31
"San Juan PR","Christiansted VI",31
"San Juan PR","Hartford CT",31
"San Juan PR","Jacksonville FL",31
"San Juan PR","West Palm Beach/Palm Beach FL",31
"Santa Barbara CA","Seattle WA",31
"Sarasota/Bradenton FL","Boston MA",31
"Sarasota/Bradenton FL","Chicago IL",31
"Scranton/Wilkes-Barre PA","Atlanta GA",31
"Seattle WA","Fort Lauderdale FL",31
"Seattle WA","Fresno CA",31
"Seattle WA","Miami FL",31
"Seattle WA","Reno NV",31
"Seattle WA","San Antonio TX",31
"Seattle WA","Santa Barbara CA",31
"Seattle WA","Tucson AZ",31
"Shreveport LA","Denver CO",31
"Sitka AK","Ketchikan AK",31
"St. Louis MO","Birmingham AL",31
"St. Louis MO","Fort Lauderdale FL",31
"St. Louis MO","Raleigh/Durham NC",31
"Tallahassee FL","Dallas/Fort Worth TX",31
"Tampa FL","Akron OH",31
"Tampa FL","Albany NY",31
"Tampa FL","Dayton OH",31
"Tampa FL","Kansas City MO",31
"Tampa FL","Key West FL",31
"Tampa FL","Las Vegas NV",31
"Tampa FL","Louisville KY",31
"Tampa FL","Manchester NH",31
"Tampa FL","Norfolk VA",31
"Tampa FL","Rochester NY",31
"Tampa FL","White Plains NY",31
"Tucson AZ","Seattle WA",31
"Tulsa OK","Las Vegas NV",31
"Washington DC","Albuquerque NM",31
"Washington DC","Colorado Springs CO",31
"Washington DC","Louisville KY",31
"Washington DC","Manchester NH",31
"Washington DC","New Orleans LA",31
"Washington DC","Oklahoma City OK",31
"Washington DC","Pensacola FL",31
"Washington DC","Syracuse NY",31
"West Palm Beach/Palm Beach FL","Cleveland OH",31
"West Palm Beach/Palm Beach FL","Hartford CT",31
"West Palm Beach/Palm Beach FL","San Juan PR",31
"White Plains NY","Tampa FL",31
"Wrangell AK","Ketchikan AK",31
"Wrangell AK","Petersburg AK",31
"Cincinnati OH","Tampa FL",32
"Cleveland OH","Phoenix AZ",32
"Columbus OH","Detroit MI",32
"Columbus OH","Washington DC",32
"Detroit MI","Columbus OH",32
"Fort Lauderdale FL","Kansas City MO",32
"Fort Myers FL","White Plains NY",32
"Houston TX","Cedar Rapids/Iowa City IA",32
"Kansas City MO","Fort Lauderdale FL",32
"Las Vegas NV","Lubbock TX",32
"Lexington KY","Houston TX",32
"Lubbock TX","Las Vegas NV",32
"Manchester NH","Cleveland OH",32
"Minneapolis MN","Tulsa OK",32
"New Orleans LA","Detroit MI",32
"New Orleans LA","Minneapolis MN",32
"New Orleans LA","Newark NJ",32
"Newark NJ","Columbus OH",32
"Newark NJ","Portland OR",32
"Philadelphia PA","Salt Lake City UT",32
"Raleigh/Durham NC","Minneapolis MN",32
"Rapid City SD","Salt Lake City UT",32
"Salt Lake City UT","Gillette WY",32
"Salt Lake City UT","Newark NJ",32
"Salt Lake City UT","Philadelphia PA",32
"Salt Lake City UT","Rapid City SD",32
"San Francisco CA","Albuquerque NM",32
"Savannah GA","Newark NJ",32
"Tampa FL","Cincinnati OH",32
"White Plains NY","Fort Myers FL",32
"Albuquerque NM","San Francisco CA",33
"Boston MA","Salt Lake City UT",33
"Cincinnati OH","Fort Lauderdale FL",33
"Cleveland OH","Manchester NH",33
"Denver CO","Medford OR",33
"Flint MI","Minneapolis MN",33
"Fort Lauderdale FL","Cincinnati OH",33
"Houston TX","San Juan PR",33
"Houston TX","Savannah GA",33
"Medford OR","Denver CO",33
"Minneapolis MN","Flint MI",33
"Minneapolis MN","New Orleans LA",33
"Newark NJ","Savannah GA",33
"Phoenix AZ","Cleveland OH",33
"Pittsburgh PA","Washington DC",33
"Portland ME","Washington DC",33
"Portland OR","Newark NJ",33
"Salt Lake City UT","Boston MA",33
"San Francisco CA","Cleveland OH",33
"San Francisco CA","Spokane WA",33
"San Juan PR","Houston TX",33
"Savannah GA","Houston TX",33
"Spokane WA","San Francisco CA",33
"Tulsa OK","Minneapolis MN",33
"Washington DC","Portland ME",33
"Austin TX","Lubbock TX",34
"Boise ID","Los Angeles CA",34
"Cincinnati OH","Fort Myers FL",34
"Cleveland OH","San Francisco CA",34
"Denver CO","Kalispell MT",34
"Fort Myers FL","Cincinnati OH",34
"Iron Mountain/Kingsfd MI","Minneapolis MN",34
"Kalispell MT","Denver CO",34
"Kona HI","Phoenix AZ",34
"Little Rock AR","St. Louis MO",34
"Los Angeles CA","Boise ID",34
"Louisville KY","Orlando FL",34
"Lubbock TX","Austin TX",34
"Minneapolis MN","Iron Mountain/Kingsfd MI",34
"Newark NJ","New Orleans LA",34
"Orlando FL","Louisville KY",34
"Phoenix AZ","Kona HI",34
"St. Louis MO","Little Rock AR",34
"Washington DC","Greer SC",34
"Washington DC","Indianapolis IN",34
"Charlotte Amalie VI","New York NY",35
"Charlotte Amalie VI","Newark NJ",35
"Chicago IL","Palm Springs CA",35
"Greer SC","Washington DC",35
"New York NY","Charlotte Amalie VI",35
"Newark NJ","Charlotte Amalie VI",35
"Palm Springs CA","Chicago IL",35
"San Francisco CA","Tucson AZ",35
"Tucson AZ","San Francisco CA",35
"Cleveland OH","St. Louis MO",36
"Columbus OH","Las Vegas NV",36
"Denver CO","Helena MT",36
"Fort Lauderdale FL","Indianapolis IN",36
"Fort Lauderdale FL","Pittsburgh PA",36
"Helena MT","Denver CO",36
"Indianapolis IN","Fort Lauderdale FL",36
"Kansas City MO","Seattle WA",36
"Las Vegas NV","Columbus OH",36
"Las Vegas NV","Midland/Odessa TX",36
"Las Vegas NV","New Orleans LA",36
"Las Vegas NV","Orlando FL",36
"Las Vegas NV","Pittsburgh PA",36
"Louisville KY","Denver CO",36
"Midland/Odessa TX","Las Vegas NV",36
"New Orleans LA","Las Vegas NV",36
"Orlando FL","Las Vegas NV",36
"Pittsburgh PA","Fort Lauderdale FL",36
"Pittsburgh PA","Las Vegas NV",36
"Seattle WA","Kansas City MO",36
"Anchorage AK","Phoenix AZ",37
"Aspen CO","San Francisco CA",37
"Atlanta GA","Charlotte Amalie VI",37
"Boston MA","San Diego CA",37
"Charlotte Amalie VI","Atlanta GA",37
"Dallas/Fort Worth TX","Durango CO",37
"Denver CO","Honolulu HI",37
"Denver CO","Louisville KY",37
"Durango CO","Dallas/Fort Worth TX",37
"Honolulu HI","Denver CO",37
"Houston TX","Aspen CO",37
"Lihue HI","San Francisco CA",37
"New York NY","Burbank CA",37
"Newark NJ","Hartford CT",37
"Newburgh/Poughkeepsie NY","Orlando FL",37
"Orlando FL","Newburgh/Poughkeepsie NY",37
"Phoenix AZ","Anchorage AK",37
"San Diego CA","Boston MA",37
"San Francisco CA","Aspen CO",37
"San Francisco CA","Lihue HI",37
"Washington DC","San Antonio TX",37
"Aspen CO","Houston TX",38
"Buffalo NY","Tampa FL",38
"Burbank CA","New York NY",38
"Charlotte Amalie VI","Charlotte NC",38
"Charlotte NC","Charlotte Amalie VI",38
"Hartford CT","Newark NJ",38
"Indianapolis IN","Washington DC",38
"San Antonio TX","San Francisco CA",38
"San Francisco CA","San Antonio TX",38
"Tampa FL","Buffalo NY",38
"Islip NY","Tampa FL",39
"Orlando FL","Seattle WA",39
"Seattle WA","Orlando FL",39
"Tampa FL","Islip NY",39
"Barrow AK","Anchorage AK",40
"Chicago IL","Honolulu HI",40
"Cleveland OH","Indianapolis IN",40
"Deadhorse AK","Barrow AK",40
"Honolulu HI","Chicago IL",40
"Aguadilla PR","Orlando FL",41
"Cleveland OH","Louisville KY",41
"Louisville KY","Cleveland OH",41
"Orlando FL","Aguadilla PR",41
"Rochester NY","Newark NJ",41
"Charlotte NC","Seattle WA",42
"Cincinnati OH","New York NY",43
"Denver CO","Akron OH",43
"Kahului HI","Phoenix AZ",43
"Phoenix AZ","Kahului HI",43
"Akron OH","Denver CO",44
"Christiansted VI","Miami FL",44
"Cleveland OH","Washington DC",44
"Indianapolis IN","Cleveland OH",44
"Lihue HI","Seattle WA",44
"Miami FL","Christiansted VI",44
"Orlando FL","Ponce PR",44
"Richmond VA","Cincinnati OH",44
"San Jose CA","Honolulu HI",44
"Seattle WA","Charlotte NC",44
"Seattle WA","Kona HI",44
"Bakersfield CA","Houston TX",45
"Chicago IL","San Juan PR",45
"Honolulu HI","San Jose CA",45
"Kona HI","Seattle WA",45
"Ponce PR","Orlando FL",45
"San Juan PR","Chicago IL",45
"Seattle WA","Lihue HI",45
"Boston MA","Norfolk VA",46
"Cincinnati OH","Richmond VA",46
"Houston TX","Bakersfield CA",46
"Indianapolis IN","Raleigh/Durham NC",46
"Memphis TN","Philadelphia PA",46
"Philadelphia PA","Memphis TN",46
"Anchorage AK","Minneapolis MN",47
"Cincinnati OH","Kansas City MO",47
"Cleveland OH","Grand Rapids MI",47
"Denver CO","Durango CO",47
"Fayetteville AR","Minneapolis MN",47
"Minneapolis MN","Fayetteville AR",47
"Norfolk VA","Boston MA",47
"Rochester NY","Washington DC",47
"Atlanta GA","Sacramento CA",48
"Detroit MI","Tulsa OK",48
"Durango CO","Denver CO",48
"Fayetteville AR","Memphis TN",48
"Honolulu HI","Oakland CA",48
"Kansas City MO","Cincinnati OH",48
"Mammoth Lakes CA","San Francisco CA",48
"Minneapolis MN","Anchorage AK",48
"Sacramento CA","Atlanta GA",48
"San Francisco CA","Mammoth Lakes CA",48
"Tulsa OK","Detroit MI",48
"Hobbs NM","Houston TX",49
"Houston TX","Hobbs NM",49
"Memphis TN","Fayetteville AR",49
"Milwaukee WI","St. Louis MO",49
"Oakland CA","Honolulu HI",49
"St. Louis MO","Milwaukee WI",49
"Cincinnati OH","Nashville TN",50
"Cincinnati OH","Raleigh/Durham NC",50
"Columbus OH","St. Louis MO",50
"Dallas/Fort Worth TX","Springfield IL",50
"Detroit MI","San Diego CA",50
"Houston TX","Richmond VA",50
"Lansing MI","Minneapolis MN",50
"Las Vegas NV","Memphis TN",50
"Memphis TN","Las Vegas NV",50
"Memphis TN","Milwaukee WI",50
"Memphis TN","Raleigh/Durham NC",50
"Milwaukee WI","Memphis TN",50
"Minneapolis MN","Lansing MI",50
"Nashville TN","Cincinnati OH",50
"New Orleans LA","St. Louis MO",50
"Raleigh/Durham NC","Cincinnati OH",50
"Raleigh/Durham NC","Memphis TN",50
"Richmond VA","Houston TX",50
"San Diego CA","Detroit MI",50
"Springfield IL","Dallas/Fort Worth TX",50
"St. Louis MO","Cincinnati OH",50
"St. Louis MO","Columbus OH",50
"Austin TX","Newark NJ",51
"Boston MA","Seattle WA",51
"Huntsville AL","Washington DC",51
"Kansas City MO","Memphis TN",51
"Knoxville TN","Memphis TN",51
"Los Angeles CA","Memphis TN",51
"Memphis TN","Jackson/Vicksburg MS",51
"Memphis TN","Knoxville TN",51
"Memphis TN","Nashville TN",51
"Memphis TN","Oklahoma City OK",51
"Memphis TN","St. Louis MO",51
"Nashville TN","Memphis TN",51
"Newark NJ","Austin TX",51
"Newark NJ","Omaha NE",51
"Omaha NE","Newark NJ",51
"Pittsburgh PA","Minneapolis MN",51
"San Juan PR","Baltimore MD",51
"Seattle WA","Boston MA",51
"Washington DC","Huntsville AL",51
"Albany NY","Cleveland OH",52
"Baltimore MD","San Juan PR",52
"Bend/Redmond OR","Salt Lake City UT",52
"Cleveland OH","Albany NY",52
"Detroit MI","Oklahoma City OK",52
"Detroit MI","Pellston MI",52
"Grand Rapids MI","Cleveland OH",52
"Jackson/Vicksburg MS","Memphis TN",52
"Lewiston ID","Salt Lake City UT",52
"Memphis TN","Kansas City MO",52
"Memphis TN","Los Angeles CA",52
"Minneapolis MN","Louisville KY",52
"New York NY","Long Beach CA",52
"New York NY","Portland OR",52
"Oklahoma City OK","Detroit MI",52
"Oklahoma City OK","Memphis TN",52
"Pellston MI","Detroit MI",52
"Portland OR","New York NY",52
"Salt Lake City UT","Bend/Redmond OR",52
"Salt Lake City UT","Lewiston ID",52
"St. Louis MO","Memphis TN",52
"Syracuse NY","Washington DC",52
"Arcata/Eureka CA","Sacramento CA",53
"Austin TX","San Jose CA",53
"Bakersfield CA","Los Angeles CA",53
"Boise ID","Portland OR",53
"Brainerd MN","Minneapolis MN",53
"Charleston/Dunbar WV","Chicago IL",53
"Chattanooga TN","Detroit MI",53
"Chicago IL","Charleston/Dunbar WV",53
"Chicago IL","Oakland CA",53
"Chicago IL","Scranton/Wilkes-Barre PA",53
"Cincinnati OH","Pittsburgh PA",53
"Cleveland OH","Fort Lauderdale FL",53
"Del Rio TX","Houston TX",53
"Detroit MI","Chattanooga TN",53
"Fort Lauderdale FL","Cleveland OH",53
"Hibbing MN","Minneapolis MN",53
"Long Beach CA","New York NY",53
"Los Angeles CA","Bakersfield CA",53
"Louisville KY","Detroit MI",53
"Louisville KY","St. Louis MO",53
"Milwaukee WI","Kansas City MO",53
"Minneapolis MN","Hibbing MN",53
"Nashville TN","Austin TX",53
"Newark NJ","Norfolk VA",53
"Oakland CA","Chicago IL",53
"Oklahoma City OK","St. Louis MO",53
"Ontario CA","Houston TX",53
"Pittsburgh PA","Cincinnati OH",53
"Portland OR","Boise ID",53
"Sacramento CA","Arcata/Eureka CA",53
"Scranton/Wilkes-Barre PA","Chicago IL",53
"St. Louis MO","Louisville KY",53
"Baltimore MD","Greer SC",54
"Bloomington/Normal IL","Detroit MI",54
"Cedar City UT","Salt Lake City UT",54
"Chicago IL","Watertown NY",54
"Columbus OH","Denver CO",54
"Denver CO","Cincinnati OH",54
"Denver CO","Columbus OH",54
"Detroit MI","Escanaba MI",54
"Escanaba MI","Detroit MI",54
"Fort Lauderdale FL","Minneapolis MN",54
"Fort Lauderdale FL","Raleigh/Durham NC",54
"Greer SC","Baltimore MD",54
"Greer SC","Newark NJ",54
"Houston TX","Del Rio TX",54
"Houston TX","Ontario CA",54
"Kansas City MO","Milwaukee WI",54
"Minneapolis MN","Brainerd MN",54
"Minneapolis MN","Fort Lauderdale FL",54
"New York NY","Richmond VA",54
"Norfolk VA","Newark NJ",54
"Oakland CA","Spokane WA",54
"Orlando FL","Salt Lake City UT",54
"Philadelphia PA","Nashville TN",54
"Philadelphia PA","St. Louis MO",54
"Raleigh/Durham NC","Fort Lauderdale FL",54
"Salt Lake City UT","Cedar City UT",54
"Salt Lake City UT","Orlando FL",54
"San Antonio TX","Nashville TN",54
"San Antonio TX","St. Louis MO",54
"Sarasota/Bradenton FL","Charlotte NC",54
"Spokane WA","Oakland CA",54
"St. Louis MO","New Orleans LA",54
"St. Louis MO","San Antonio TX",54
"St. Louis MO","Tulsa OK",54
"Tampa FL","Birmingham AL",54
"Tulsa OK","St. Louis MO",54
"Watertown NY","Chicago IL",54
"Albuquerque NM","San Diego CA",55
"Albuquerque NM","Tucson AZ",55
"Baltimore MD","San Antonio TX",55
"Charlotte NC","Sarasota/Bradenton FL",55
"Denver CO","Memphis TN",55
"Detroit MI","Bloomington/Normal IL",55
"Detroit MI","Huntsville AL",55
"Detroit MI","Marquette MI",55
"Greensboro/High Point NC","Detroit MI",55
"Houston TX","Oakland CA",55
"Huntsville AL","Detroit MI",55
"Kansas City MO","Indianapolis IN",55
"Kansas City MO","Oklahoma City OK",55
"Marquette MI","Detroit MI",55
"Minneapolis MN","Moline IL",55
"Minneapolis MN","Pittsburgh PA",55
"Moline IL","Minneapolis MN",55
"Oakland CA","Houston TX",55
"San Antonio TX","Baltimore MD",55
"St. Louis MO","Oklahoma City OK",55
"St. Louis MO","Philadelphia PA",55
"Anchorage AK","Kodiak AK",56
"Atlanta GA","El Paso TX",56
"Binghamton NY","Detroit MI",56
"Boston MA","Richmond VA",56
"Boston MA","St. Louis MO",56
"Charlotte NC","San Diego CA",56
"Cincinnati OH","Los Angeles CA",56
"Dallas TX","Harlingen/San Benito TX",56
"Detroit MI","Binghamton NY",56
"Detroit MI","Ithaca/Cortland NY",56
"Detroit MI","Scranton/Wilkes-Barre PA",56
"El Paso TX","Atlanta GA",56
"Harlingen/San Benito TX","Dallas TX",56
"Houston TX","Louisville KY",56
"Ithaca/Cortland NY","Detroit MI",56
"Kodiak AK","Anchorage AK",56
"Kona HI","San Francisco CA",56
"Los Angeles CA","Cincinnati OH",56
"Louisville KY","Minneapolis MN",56
"Memphis TN","Denver CO",56
"Minneapolis MN","Rhinelander WI",56
"Newark NJ","Indianapolis IN",56
"Newark NJ","Santa Ana CA",56
"Omaha NE","Charlotte NC",56
"Rhinelander WI","Minneapolis MN",56
"Richmond VA","Boston MA",56
"San Francisco CA","Kona HI",56
"Scranton/Wilkes-Barre PA","Detroit MI",56
"St. Louis MO","Boston MA",56
"Washington DC","Columbus OH",56
"Washington DC","Dayton OH",56
"Albany NY","Charlotte NC",57
"Albuquerque NM","Oakland CA",57
"Appleton WI","Atlanta GA",57
"Asheville NC","Chicago IL",57
"Atlanta GA","Appleton WI",57
"Atlanta GA","Cedar Rapids/Iowa City IA",57
"Atlanta GA","New Bern/Morehead/Beaufort NC",57
"Atlanta GA","Tucson AZ",57
"Austin TX","Nashville TN",57
"Baltimore MD","Kansas City MO",57
"Birmingham AL","Baltimore MD",57
"Cedar Rapids/Iowa City IA","Atlanta GA",57
"Charlotte NC","Albany NY",57
"Charlotte NC","Omaha NE",57
"Charlotte NC","Pensacola FL",57
"Chicago IL","Asheville NC",57
"Cincinnati OH","Salt Lake City UT",57
"Cleveland OH","Fort Myers FL",57
"Columbus OH","Nashville TN",57
"Crescent City CA","San Francisco CA",57
"Denver CO","Lubbock TX",57
"Detroit MI","Sault Ste. Marie MI",57
"Fort Myers FL","Cleveland OH",57
"Knoxville TN","Washington DC",57
"Louisville KY","Houston TX",57
"Lubbock TX","Denver CO",57
"Medford OR","Salt Lake City UT",57
"Memphis TN","Orlando FL",57
"New Bern/Morehead/Beaufort NC","Atlanta GA",57
"Newark NJ","Greer SC",57
"Oakland CA","Albuquerque NM",57
"Orlando FL","Memphis TN",57
"Pensacola FL","Charlotte NC",57
"Pittsburgh PA","Denver CO",57
"Salt Lake City UT","Cincinnati OH",57
"Salt Lake City UT","Medford OR",57
"San Diego CA","Charlotte NC",57
"San Diego CA","Reno NV",57
"San Diego CA","San Antonio TX",57
"Sault Ste. Marie MI","Detroit MI",57
"Tucson AZ","Atlanta GA",57
"Washington DC","Knoxville TN",57
"Bakersfield CA","Denver CO",58
"Birmingham AL","New Orleans LA",58
"Birmingham AL","Tampa FL",58
"Boise ID","Oakland CA",58
"Boston MA","Milwaukee WI",58
"Chattanooga TN","Dallas/Fort Worth TX",58
"Chicago IL","Sioux City IA",58
"Chicago IL","Waterloo IA",58
"Columbus GA","Dallas/Fort Worth TX",58
"Dallas/Fort Worth TX","Chattanooga TN",58
"Dallas/Fort Worth TX","Columbus GA",58
"Dallas/Fort Worth TX","Grand Island NE",58
"Denver CO","Bakersfield CA",58
"Denver CO","Springfield MO",58
"Des Moines IA","Houston TX",58
"Detroit MI","Louisville KY",58
"Fort Myers FL","St. Louis MO",58
"Grand Island NE","Dallas/Fort Worth TX",58
"Houston TX","Des Moines IA",58
"Kansas City MO","Baltimore MD",58
"Memphis TN","New York NY",58
"Milwaukee WI","Boston MA",58
"Nashville TN","Columbus OH",58
"Nashville TN","Panama City FL",58
"Nashville TN","San Antonio TX",58
"Nashville TN","St. Louis MO",58
"New Orleans LA","Birmingham AL",58
"New York NY","Memphis TN",58
"Newark NJ","Pittsburgh PA",58
"Oakland CA","Boise ID",58
"Oakland CA","Reno NV",58
"Oklahoma City OK","Kansas City MO",58
"Orlando FL","Norfolk VA",58
"Panama City FL","Nashville TN",58
"Portland OR","Reno NV",58
"Reno NV","Portland OR",58
"San Antonio TX","San Diego CA",58
"San Diego CA","Albuquerque NM",58
"San Diego CA","Baltimore MD",58
"San Francisco CA","Crescent City CA",58
"San Jose CA","Austin TX",58
"Sioux City IA","Chicago IL",58
"Spokane WA","Boise ID",58
"Springfield MO","Denver CO",58
"St. Louis MO","Fort Myers FL",58
"St. Louis MO","Nashville TN",58
"Tucson AZ","Albuquerque NM",58
"Washington DC","Cleveland OH",58
"Waterloo IA","Chicago IL",58
"Atlanta GA","Killeen TX",59
"Austin TX","San Diego CA",59
"Baltimore MD","Austin TX",59
"Boise ID","Minneapolis MN",59
"Boise ID","Spokane WA",59
"Charlotte NC","Salt Lake City UT",59
"Cleveland OH","Las Vegas NV",59
"Denver CO","Jackson WY",59
"Denver CO","Pittsburgh PA",59
"Detroit MI","Mosinee WI",59
"Fort Myers FL","Pittsburgh PA",59
"Houston TX","Panama City FL",59
"Indianapolis IN","Kansas City MO",59
"Indianapolis IN","Las Vegas NV",59
"Kansas City MO","San Francisco CA",59
"Killeen TX","Atlanta GA",59
"Las Vegas NV","Cleveland OH",59
"Las Vegas NV","Indianapolis IN",59
"Minneapolis MN","Oklahoma City OK",59
"Mosinee WI","Detroit MI",59
"Nashville TN","Philadelphia PA",59
"Nashville TN","Phoenix AZ",59
"Oklahoma City OK","Minneapolis MN",59
"Oklahoma City OK","Phoenix AZ",59
"Omaha NE","Salt Lake City UT",59
"Panama City FL","Houston TX",59
"Phoenix AZ","Nashville TN",59
"Phoenix AZ","Oklahoma City OK",59
"Phoenix AZ","Tulsa OK",59
"Pittsburgh PA","Fort Myers FL",59
"Providence RI","Tampa FL",59
"Richmond VA","New York NY",59
"Salt Lake City UT","Omaha NE",59
"Salt Lake City UT","San Antonio TX",59
"San Antonio TX","Salt Lake City UT",59
"San Diego CA","Austin TX",59
"San Francisco CA","Kansas City MO",59
"Tampa FL","Providence RI",59
"Tulsa OK","Phoenix AZ",59
"Anchorage AK","Kotzebue AK",60
"Boston MA","Las Vegas NV",60
"Detroit MI","Greer SC",60
"Detroit MI","State College PA",60
"Eugene OR","Denver CO",60
"Greer SC","Detroit MI",60
"Hartford CT","Minneapolis MN",60
"Jackson WY","Denver CO",60
"Kotzebue AK","Nome AK",60
"Las Vegas NV","Boston MA",60
"Los Angeles CA","Baltimore MD",60
"Minneapolis MN","Boise ID",60
"Minneapolis MN","Hartford CT",60
"Nome AK","Anchorage AK",60
"Roanoke VA","Washington DC",60
"Salt Lake City UT","Charlotte NC",60
"Santa Ana CA","Newark NJ",60
"State College PA","Detroit MI",60
"Washington DC","Burlington VT",60
"Atlanta GA","Columbia MO",61
"Baltimore MD","Birmingham AL",61
"Baltimore MD","Los Angeles CA",61
"Baltimore MD","Philadelphia PA",61
"Bemidji MN","Minneapolis MN",61
"Burlington VT","Washington DC",61
"Butte MT","Salt Lake City UT",61
"Chicago IL","Sacramento CA",61
"Detroit MI","West Palm Beach/Palm Beach FL",61
"Grand Junction CO","Salt Lake City UT",61
"Houston TX","Charleston SC",61
"Inyokern CA","Los Angeles CA",61
"Juneau AK","Seattle WA",61
"Los Angeles CA","Inyokern CA",61
"Minneapolis MN","Williston ND",61
"Nashville TN","Fort Lauderdale FL",61
"New Orleans LA","Philadelphia PA",61
