OriginCityName,DestCityName,c
"Boston MA","San Jose CA",7
"Gunnison CO","Denver CO",7
"Oakland CA","Washington DC",7
"San Jose CA","Boston MA",7
"Albuquerque NM","El Paso TX",8
"Anchorage AK","Chicago IL",8
"Buffalo NY","Cleveland OH",8
"Charlotte Amalie VI","Chicago IL",8
"Chicago IL","Charlotte Amalie VI",8
"Cleveland OH","Buffalo NY",8
"Cleveland OH","San Juan PR",8
"El Paso TX","Albuquerque NM",8
"Hayden CO","Los Angeles CA",8
"Los Angeles CA","Hayden CO",8
"Los Angeles CA","Montrose/Delta CO",8
"Montrose/Delta CO","Los Angeles CA",8
"San Juan PR","Cleveland OH",8
"Washington DC","Oakland CA",8
"Adak Island AK","Anchorage AK",9
"Anchorage AK","Adak Island AK",9
"Atlanta GA","Bozeman MT",9
"Atlanta GA","Jackson WY",9
"Atlanta GA","Montrose/Delta CO",9
"Bozeman MT","Atlanta GA",9
"Chicago IL","Anchorage AK",9
"Columbia MO","Orlando FL",9
"Columbia SC","Newark NJ",9
"Honolulu HI","Pago Pago TT",9
"Jackson WY","Atlanta GA",9
"Minneapolis MN","Raleigh/Durham NC",9
"Montrose/Delta CO","Atlanta GA",9
"Newark NJ","Columbia SC",9
"Orlando FL","Columbia MO",9
"Pago Pago TT","Honolulu HI",9
"Portland OR","Spokane WA",9
"Rockford IL","Denver CO",9
"Trenton NJ","Orlando FL",9
"Charlotte Amalie VI","Boston MA",10
"Denver CO","Rockford IL",10
"Orlando FL","Trenton NJ",10
"Spokane WA","Portland OR",10
"Washington DC","Tulsa OK",10
"Bozeman MT","San Francisco CA",12
"Grand Rapids MI","Tampa FL",12
"San Francisco CA","Bozeman MT",12
"Tampa FL","Grand Rapids MI",12
"Anchorage AK","Kahului HI",13
"Bloomington/Normal IL","Orlando FL",13
"Greensboro/High Point NC","Orlando FL",13
"Kahului HI","Anchorage AK",13
"Omaha NE","Orlando FL",13
"Orlando FL","Bloomington/Normal IL",13
"Orlando FL","Greensboro/High Point NC",13
"Orlando FL","Omaha NE",13
"Orlando FL","Staunton VA",13
"Staunton VA","Orlando FL",13
"Bloomington/Normal IL","Denver CO",14
"Bozeman MT","Minneapolis MN",14
"Charlotte Amalie VI","Washington DC",14
"Denver CO","Bloomington/Normal IL",14
"Hartford CT","Raleigh/Durham NC",14
"Minneapolis MN","Bozeman MT",14
"Raleigh/Durham NC","Hartford CT",14
"Washington DC","Charlotte Amalie VI",14
"West Palm Beach/Palm Beach FL","Tampa FL",14
"Fort Lauderdale FL","Orlando FL",15
"Newark NJ","Rochester NY",15
"Orlando FL","Fort Lauderdale FL",15
"Pittsburgh PA","Los Angeles CA",15
"St. Louis MO","Cleveland OH",15
"Tampa FL","West Palm Beach/Palm Beach FL",15
"Flint MI","Tampa FL",16
"Tampa FL","Flint MI",16
"Tulsa OK","Los Angeles CA",16
"Colorado Springs CO","San Diego CA",17
"Fort Myers FL","Grand Rapids MI",17
"Grand Rapids MI","Fort Myers FL",17
"Kona HI","Portland OR",17
"Mammoth Lakes CA","Santa Ana CA",17
"Portland OR","Lihue HI",17
"San Diego CA","Colorado Springs CO",17
"Santa Ana CA","Mammoth Lakes CA",17
"South Bend IN","Denver CO",17
"Bellingham WA","Kahului HI",18
"Cincinnati OH","Las Vegas NV",18
"Deadhorse AK","Anchorage AK",18
"Denver CO","South Bend IN",18
"Flint MI","Fort Myers FL",18
"Fort Myers FL","Flint MI",18
"Kahului HI","Bellingham WA",18
"Las Vegas NV","Cincinnati OH",18
"Lihue HI","Portland OR",18
"Los Angeles CA","Tulsa OK",18
"Pittsburgh PA","San Francisco CA",18
"Portland OR","Kona HI",18
"Allentown/Bethlehem/Easton PA","Orlando FL",19
"Los Angeles CA","Pittsburgh PA",19
"Minneapolis MN","Tucson AZ",19
"Orlando FL","Allentown/Bethlehem/Easton PA",19
"San Francisco CA","Pittsburgh PA",19
"San Francisco CA","St. Louis MO",19
"St. Louis MO","San Francisco CA",19
"Tucson AZ","Minneapolis MN",19
"Boston MA","Long Beach CA",20
"Lexington KY","Washington DC",20
"Long Beach CA","Boston MA",20
"Los Angeles CA","Santa Fe NM",20
"New York NY","Oakland CA",20
"New York NY","Sacramento CA",20
"New York NY","San Jose CA",20
"Oakland CA","New York NY",20
"Sacramento CA","New York NY",20
"San Jose CA","New York NY",20
"Santa Fe NM","Los Angeles CA",20
"Washington DC","Lexington KY",20
"Columbus OH","Raleigh/Durham NC",21
"Detroit MI","Little Rock AR",21
"Little Rock AR","Detroit MI",21
"Orlando FL","San Diego CA",21
"Raleigh/Durham NC","Columbus OH",21
"Raleigh/Durham NC","Indianapolis IN",21
