UniqueCarrier,s
HA,11.5204545454545
US,11.5300222386953
VX,12.2334494773519
AS,12.8650100738751
DL,14.2775805974564
F9,15.9574726609964
UA,17.2170636116973
WN,18.5659936072347
AA,19.4118924134604
B6,19.6381773399015
FL,20.4456094364351
9E,21.6936809960066
MQ,21.9089021858591
OO,25.6704160860044
EV,28.6475628984712
YV,34.1280315848844
