UniqueCarrier,s
F9,0.0
FL,0.0
MQ,0.00830382220051288
EV,0.0204291492424762
YV,0.0287648054145516
DL,0.0356403430937592
UA,0.0416038589086524
9E,0.0617805966643176
OO,0.0732629902448736
B6,0.0827586206896552
AS,0.110141034251175
VX,0.121951219512195
AA,0.134845012664335
WN,0.135885242067514
US,0.166234247590808
HA,0.177272727272727
