FlightDate,a
2013-01-01,21.8012871027055
2013-01-02,22.448140575786
2013-01-03,22.5073769568645
2013-01-04,21.4809367575518
2013-01-05,21.4960968273294
2013-01-06,22.0010340632603
2013-01-07,21.3124856288802
2013-01-08,21.8154598227925
2013-01-09,20.8388232485977
2013-01-10,21.6125702488818
2013-01-11,22.654856619541
2013-01-12,21.2492881762326
2013-01-13,22.5335110670221
2013-01-14,21.929552169631
2013-01-15,20.9780300705738
2013-01-16,22.6367876577169
2013-01-17,21.5789382971389
2013-01-18,22.1243761115254
2013-01-19,20.533242465546
2013-01-20,20.8244922106093
2013-01-21,21.6220440177944
2013-01-22,21.3918412483873
2013-01-23,22.2172013406751
2013-01-24,22.2696661495145
2013-01-25,25.3629995406523
2013-01-26,21.9735493594574
2013-01-27,22.974358974359
2013-01-28,22.2517113354217
2013-01-29,21.7408044212465
2013-01-30,23.7713806930397
2013-01-31,23.1146957520092
