UniqueCarrier,a
FL,0.404980340760157
F9,0.416160388821385
B6,0.708620689655172
HA,0.870454545454545
US,1.24147516679022
WN,1.40391361970843
EV,1.55165558373895
AS,1.86903962390866
UA,2.01220982815797
OO,2.24636671311965
AA,2.77988179954167
YV,2.85843203609701
9E,3.39793281653747
DL,4.76989056492162
VX,5.39721254355401
MQ,8.13481499572597
