a,b,c
"Detroit MI","Alpena MI",46
"Fayetteville AR","Denver CO",46
"Hayden CO","Chicago IL",46
"Jackson WY","Chicago IL",46
"Jackson WY","Dallas/Fort Worth TX",46
"Minneapolis MN","Helena MT",46
"Orlando FL","Harrisburg PA",46
"Phoenix AZ","Colorado Springs CO",46
"San Jose CA","Atlanta GA",46
"Kahului HI","Denver CO",48
"Philadelphia PA","Charlotte Amalie VI",48
"Philadelphia PA","Manchester NH",48
"Phoenix AZ","Lihue HI",48
"Portland ME","Atlanta GA",48
"Rhinelander WI","Iron Mountain/Kingsfd MI",48
"Cleveland OH","Burlington VT",49
"Fayetteville AR","Detroit MI",49
"Madison WI","Cincinnati OH",49
"New York NY","Birmingham AL",49
"Peoria IL","Minneapolis MN",49
"San Francisco CA","New Orleans LA",49
"Tallahassee FL","Fort Lauderdale FL",49
"Eagle CO","Denver CO",50
"Fayetteville AR","Cincinnati OH",50
"Greer SC","Cincinnati OH",50
"Harrisburg PA","Cincinnati OH",50
"Jacksonville FL","Cincinnati OH",50
"Memphis TN","Baton Rouge LA",50
"Memphis TN","Boston MA",50
"New Orleans LA","Cincinnati OH",50
"New York NY","Knoxville TN",50
"Phoenix AZ","Memphis TN",50
"San Francisco CA","Cincinnati OH",50
"Shreveport LA","Memphis TN",50
"St. Louis MO","Cleveland OH",51
"Syracuse NY","Newark NJ",51
"Denver CO","Birmingham AL",52
"Memphis TN","Des Moines IA",52
"Milwaukee WI","Cincinnati OH",52
"Nashville TN","Fort Myers FL",52
"New Orleans LA","Milwaukee WI",52
"Pittsburgh PA","Memphis TN",52
"Reno NV","Ontario CA",52
"Saginaw/Bay City/Midland MI","Minneapolis MN",52
"Tampa FL","Memphis TN",52
"Tulsa OK","Memphis TN",52
"Tulsa OK","Salt Lake City UT",52
"West Palm Beach/Palm Beach FL","Buffalo NY",52
"Crescent City CA","Arcata/Eureka CA",53
"Memphis TN","Little Rock AR",53
"New York NY","Kansas City MO",53
"Newark NJ","Des Moines IA",53
"Newark NJ","Fayetteville AR",53
"Newark NJ","Madison WI",53
"Omaha NE","Memphis TN",53
"Scranton/Wilkes-Barre PA","Charlotte NC",53
"Tulsa OK","Newark NJ",53
"Chicago IL","Bloomington/Normal IL",54
"Columbus OH","Charlotte NC",54
"Greer SC","Cleveland OH",54
"Hayden CO","Atlanta GA",54
"Houston TX","Columbia SC",54
"Houston TX","Grand Junction CO",54
"Huntsville AL","Denver CO",54
"Los Angeles CA","Hilo HI",54
"Marquette MI","Chicago IL",54
"Minneapolis MN","Bloomington/Normal IL",54
"Montrose/Delta CO","Houston TX",54
"New York NY","Charleston/Dunbar WV",54
"Newark NJ","Knoxville TN",54
"Oklahoma City OK","Newark NJ",54
"Peoria IL","Denver CO",54
"Raleigh/Durham NC","Cleveland OH",54
"San Antonio TX","New York NY",54
"San Antonio TX","Newark NJ",54
"San Francisco CA","Jackson WY",54
"South Bend IN","Minneapolis MN",54
"St. George UT","Los Angeles CA",54
"Tampa FL","Los Angeles CA",54
"Washington DC","Honolulu HI",54
"Washington DC","Sacramento CA",54
"Manchester NH","Atlanta GA",55
"San Francisco CA","Oklahoma City OK",55
"San Jose CA","Minneapolis MN",55
"Washington DC","Charleston/Dunbar WV",55
"Boston MA","Austin TX",56
"Gunnison CO","Dallas/Fort Worth TX",56
"Jacksonville FL","Detroit MI",56
"Kansas City MO","Albuquerque NM",56
"Memphis TN","Fort Lauderdale FL",56
"Newport News/Williamsburg VA","Denver CO",56
"Oakland CA","Austin TX",56
"Rochester NY","Newark NJ",56
"San Francisco CA","Milwaukee WI",56
"Seattle WA","Milwaukee WI",56
"Tampa FL","Austin TX",56
"Tampa FL","San Antonio TX",56
"Washington DC","Long Beach CA",56
"Richmond VA","Minneapolis MN",57
"Madison WI","Cleveland OH",58
"Moline IL","Denver CO",58
"Norfolk VA","Jacksonville FL",58
"Sacramento CA","Minneapolis MN",58
"Washington DC","Oklahoma City OK",58
"Missoula MT","Minneapolis MN",59
"Providence RI","Newark NJ",59
"Cordova AK","Anchorage AK",60
"Panama City FL","Baltimore MD",60
"Seattle WA","Albuquerque NM",60
"Seattle WA","Austin TX",60
"Yakutat AK","Cordova AK",60
"Yakutat AK","Juneau AK",60
"Chicago IL","Boise ID",61
"Detroit MI","Bangor ME",61
"Philadelphia PA","Newark NJ",61
