UniqueCarrier,s
VX,0.0236406619385343
HA,0.0501504513540622
F9,0.206753962784287
B6,0.316209631434348
FL,0.411415137464899
DL,0.512399006680424
UA,0.5467725574606
AS,0.574043261231281
WN,0.574190581928697
US,0.798403193612774
AA,1.9242775597574
MQ,2.56281007083543
OO,2.59649936246667
EV,2.85842510442918
YV,2.93040293040293
9E,3.87606729224787
