CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,0,18,0,0
0,0,34,0,0
14,0,10,0,0
0,0,29,0,0
0,14,19,0,0
0,0,0,0,20
118,0,0,0,0
5,0,0,0,72
25,0,0,0,0
8,0,0,0,9
8,0,3,0,11
28,0,0,0,19
3,0,0,0,26
0,0,0,0,98
9,0,7,0,5
0,0,11,0,15
0,0,0,0,24
0,0,0,0,76
193,0,0,0,0
0,0,0,0,40
0,0,15,0,0
0,54,50,0,67
0,0,109,0,11
0,0,38,0,0
0,0,102,0,0
0,0,0,0,107
0,45,0,0,35
0,0,10,0,11
0,0,0,0,103
61,0,0,0,0
0,0,18,0,21
22,0,0,0,0
54,0,9,0,4
0,0,36,0,0
10,0,0,0,118
44,0,0,0,0
0,0,49,0,0
0,0,29,0,0
0,0,47,0,0
22,0,0,0,0
0,0,34,0,0
15,0,0,0,0
0,0,20,0,0
84,0,0,0,0
47,0,4,0,0
36,5,0,0,0
46,0,0,0,0
51,0,0,0,0
22,0,2,0,0
70,0,10,0,9
38,0,13,0,0
44,0,0,0,124
0,6,29,0,0
43,0,19,0,110
0,0,0,0,73
40,0,0,0,91
0,0,17,0,0
28,0,0,0,0
60,0,0,0,0
21,0,0,0,0
363,0,0,0,60
0,0,0,0,31
24,0,0,0,0
0,0,10,0,203
0,30,0,0,0
0,0,0,0,46
0,0,91,0,0
0,0,37,0,0
0,0,0,0,35
0,0,0,0,22
0,0,29,0,0
0,0,6,0,25
0,0,0,0,221
0,157,24,0,0
23,0,13,0,0
0,36,127,0,0
0,0,21,0,0
0,5,0,0,34
65,0,14,0,131
8,0,9,0,47
0,0,0,0,73
121,0,6,0,0
0,0,61,0,0
0,0,0,35,0
0,0,15,0,0
38,0,0,0,28
0,0,55,0,0
0,0,185,0,0
0,0,39,0,0
26,0,4,0,0
0,0,0,0,55
0,0,18,0,0
0,34,55,0,1
75,0,6,0,45
0,47,41,0,9
3,0,0,0,45
0,0,0,0,126
0,0,73,0,0
0,0,83,0,25
0,0,0,0,21
7,0,0,0,33
3,0,6,0,14
2,0,0,0,66
0,0,0,0,22
0,0,0,0,25
0,1,0,0,31
0,0,0,0,133
15,0,0,0,0
1,0,17,0,28
0,0,23,0,0
0,0,24,0,0
0,0,32,0,0
0,0,29,0,33
0,0,16,0,0
0,0,26,0,0
70,0,0,0,0
29,0,2,0,0
0,1,30,0,16
0,0,54,0,0
161,0,0,0,0
3,0,0,0,60
31,0,0,0,0
0,0,30,0,44
12,0,0,0,65
0,36,0,0,0
15,0,0,0,108
107,0,8,0,128
0,0,0,0,124
0,0,0,0,45
67,0,0,0,0
0,0,0,0,48
8,0,13,0,0
70,0,0,0,0
0,0,17,0,0
140,0,6,0,0
0,0,17,0,0
0,0,0,0,48
3,0,9,0,3
2,0,7,0,10
0,0,24,0,8
141,0,0,0,36
38,0,0,0,1
0,75,19,0,0
0,0,8,0,39
0,0,0,0,40
66,0,0,0,0
23,0,0,0,0
0,0,5,0,15
0,0,37,0,0
27,0,1,0,0
75,0,0,0,0
0,0,0,0,48
6,0,10,0,0
0,0,7,0,22
0,0,16,0,0
17,0,0,0,0
80,0,0,0,0
69,0,0,0,0
0,0,0,0,36
0,0,30,0,0
0,99,6,0,8
34,0,0,0,0
212,0,38,0,9
0,0,0,0,26
0,0,1,0,24
26,0,0,0,0
0,0,16,0,0
0,0,15,0,0
22,0,0,0,0
0,9,15,0,0
0,0,16,0,0
0,0,61,0,0
0,0,82,0,0
0,0,44,0,0
0,0,17,0,0
70,0,0,0,4
0,0,17,0,0
0,0,1,0,59
89,0,0,0,0
22,0,40,0,0
0,0,0,0,91
0,0,0,0,84
90,0,0,0,0
0,0,0,0,65
0,0,30,0,0
14,0,3,0,0
371,0,0,0,0
16,0,14,0,12
7,0,0,0,79
18,0,0,0,0
0,0,0,0,36
0,0,36,0,0
96,0,0,0,0
0,0,17,0,0
84,0,0,0,0
7,0,11,0,0
0,0,26,0,0
0,0,160,0,45
0,0,16,0,0
0,0,0,0,126
268,0,0,0,31
0,0,53,0,0
0,57,0,0,0
0,0,88,0,0
0,0,17,0,0
35,0,14,0,53
0,0,109,0,0
86,0,4,0,0
48,0,7,0,0
0,18,23,0,0
0,29,69,0,0
112,0,1,0,0
0,0,0,0,42
361,0,0,0,0
0,0,16,0,0
0,0,15,0,0
15,0,2,0,0
0,0,0,0,21
24,0,0,0,0
0,88,56,0,0
0,17,19,0,0
11,0,6,0,22
0,57,19,0,0
8,0,13,0,0
17,0,1,0,26
116,0,0,0,0
147,0,4,0,4
152,0,4,0,0
239,0,0,0,0
0,0,0,0,146
7,0,25,0,0
19,0,30,0,0
0,0,163,0,0
0,0,16,0,0
12,0,0,0,102
0,0,0,0,51
0,0,0,0,36
0,0,0,0,57
33,0,0,0,0
80,0,0,0,0
0,0,29,0,0
0,0,6,0,16
220,0,15,0,0
0,0,26,0,0
0,0,5,0,10
0,0,72,0,0
34,0,3,0,0
0,0,0,0,24
0,59,13,0,0
0,0,0,0,43
0,0,0,0,126
0,0,3,0,42
52,0,0,0,0
70,0,1,0,0
0,0,0,0,55
0,0,87,0,0
163,0,0,0,0
40,0,0,0,0
0,0,61,0,25
0,0,0,0,26
30,0,0,0,0
0,0,19,0,0
16,0,0,0,0
118,0,17,0,0
74,0,1,0,0
0,0,15,0,0
0,0,20,0,0
23,0,0,0,105
0,0,0,0,49
1,0,0,0,30
0,0,67,0,81
0,0,20,0,118
71,0,31,0,43
0,0,1,0,150
0,0,7,0,43
0,0,14,0,19
0,0,18,0,107
0,0,54,0,27
196,0,3,0,16
0,0,0,0,107
0,0,49,0,0
0,0,18,0,0
15,0,10,0,0
0,0,18,0,25
0,0,0,0,103
78,0,2,0,0
0,0,85,0,66
0,0,0,0,179
37,0,15,0,14
0,0,0,0,42
192,0,2,0,0
148,0,0,0,0
13,0,8,0,0
14,0,13,0,0
0,0,0,0,27
0,0,0,0,100
27,0,0,0,0
0,0,0,0,16
90,0,0,0,0
0,0,0,0,162
0,0,0,0,114
0,0,1,0,18
0,0,20,0,100
0,0,16,0,0
29,0,0,0,0
300,0,2,0,0
48,0,1,0,0
0,0,4,0,171
0,0,24,0,0
0,0,17,0,0
1,0,0,0,22
0,0,1,0,19
164,0,8,0,0
0,0,28,0,0
12,0,0,0,5
0,0,26,0,0
0,0,19,0,0
0,0,0,0,53
0,0,0,0,59
170,0,0,0,0
0,113,0,0,0
0,387,0,0,0
560,0,0,0,0
91,0,0,0,14
245,0,2,0,0
0,0,29,0,0
40,0,26,0,0
0,0,0,0,39
14,0,0,0,72
20,0,7,0,0
64,0,0,0,0
0,0,21,0,0
0,0,32,0,0
104,0,13,0,0
0,8,109,0,0
0,0,0,0,163
0,0,0,0,127
32,0,0,0,0
124,0,0,0,0
0,0,32,0,0
0,0,17,0,0
71,0,0,0,0
80,0,0,0,0
10,0,6,0,0
8,0,30,0,0
0,0,25,0,0
0,0,20,0,0
229,0,11,0,0
0,0,9,0,12
20,0,1,0,0
35,0,0,0,0
114,0,1,0,0
132,0,0,0,0
0,0,34,0,0
0,0,57,0,0
0,0,50,0,0
0,0,0,0,22
36,0,0,0,0
0,0,0,0,56
29,0,15,0,0
31,0,36,0,15
0,0,100,0,13
0,0,22,0,105
0,0,49,0,11
15,0,0,0,0
30,0,0,0,0
0,0,25,0,0
0,0,34,0,0
0,0,19,0,0
26,0,21,0,0
0,0,19,0,0
0,0,18,0,0
0,0,0,0,26
0,0,0,0,65
117,0,2,0,4
0,0,0,0,190
0,0,0,0,28
0,0,13,0,132
0,16,23,0,30
0,0,0,0,135
0,0,19,0,0
0,0,0,0,57
20,0,1,0,0
71,0,0,0,0
293,0,0,0,10
0,0,29,0,0
0,0,44,0,0
85,0,0,0,0
0,37,3,0,0
0,0,17,0,0
0,0,25,0,0
49,0,14,0,0
101,0,0,0,0
0,0,0,0,19
45,0,0,0,0
23,0,0,0,0
25,0,27,0,0
155,0,10,0,0
0,0,45,0,0
278,0,0,0,0
0,0,35,0,0
0,0,25,0,45
19,0,29,0,0
0,0,21,0,0
0,0,19,0,0
60,0,0,0,0
9,0,8,0,0
36,0,26,0,0
32,207,10,0,0
6,0,33,0,0
0,0,0,0,32
0,0,7,0,93
12,0,0,0,4
6,0,16,0,0
0,0,0,0,159
6,0,0,0,28
75,0,0,0,0
0,0,0,0,16
47,0,0,0,1
5,0,0,0,10
0,0,16,0,0
0,0,11,0,40
51,0,42,0,0
0,0,0,0,62
53,0,0,0,1
0,0,18,0,102
42,0,0,0,53
0,0,21,0,0
0,0,24,0,0
19,0,0,0,112
17,0,16,0,0
0,0,118,0,51
0,0,0,0,37
0,0,24,0,30
0,0,17,0,0
0,0,93,0,0
0,0,0,0,19
1,0,14,0,75
0,0,86,0,0
0,0,138,0,47
47,0,0,0,0
200,0,0,0,0
133,0,0,0,0
14,0,21,0,0
53,0,0,0,0
194,0,0,0,0
10,0,7,0,0
0,0,0,0,70
0,0,29,0,0
0,0,29,0,0
0,0,0,0,17
4,0,5,0,49
33,0,0,0,0
9,0,6,0,0
9,0,0,0,92
0,0,47,0,0
0,0,33,0,57
70,0,0,0,0
0,0,0,0,48
55,0,24,0,0
13,0,0,0,39
215,0,0,0,17
3,0,5,0,11
0,19,0,0,3
5,0,0,0,10
0,0,26,0,28
115,0,0,0,0
49,0,0,0,0
0,0,15,0,0
0,0,17,0,0
0,0,0,0,192
0,0,0,0,23
0,0,34,0,0
0,0,0,0,71
0,0,5,0,84
0,0,19,0,0
11,0,7,0,0
0,0,38,0,0
0,0,17,0,0
146,0,0,0,0
0,0,26,0,0
67,0,0,0,0
105,0,8,0,0
108,0,0,0,92
35,0,5,0,35
0,0,16,0,18
0,0,76,0,0
65,0,44,0,0
0,0,38,0,0
141,0,0,0,0
0,0,0,0,72
14,0,33,0,0
81,0,0,0,0
0,41,27,0,75
0,0,0,0,49
5,0,0,0,180
122,0,0,0,15
15,0,4,0,4
6,0,0,0,20
0,0,98,0,3
0,0,1,0,109
13,0,9,0,0
0,0,19,0,0
0,0,0,0,116
0,88,14,0,0
0,0,10,0,341
0,0,75,0,60
0,0,18,0,0
0,0,0,0,32
0,0,0,0,174
21,0,0,0,7
120,0,0,0,0
128,0,0,0,0
0,0,22,0,0
0,0,3,0,42
0,0,0,0,54
