x,y
149,182
146,167
157,182
154,184
158,178
166,183
154,174
168,199
151,169
178,202
183,209
153,196
154,175
157,192
164,201
162,181
166,188
174,234
156,183
161,189
170,206
153,173
169,225
145,174
77,90
138,155
144,169
133,152
129,147
128,149
123,151
139,157
116,201
126,145
124,182
126,147
133,154
127,145
125,145
126,144
119,140
118,132
115,131
121,138
124,155
131,159
132,155
125,148
74,94
69,88
73,92
71,91
84,101
90,109
92,114
88,110
207,232
202,222
151,183
159,188
142,182
166,212
181,200
139,161
177,207
174,196
131,158
143,174
89,106
90,107
76,116
77,105
65,110
74,100
69,92
68,101
64,102
71,103
71,98
74,110
85,105
71,106
69,87
74,96
71,93
75,108
76,99
64,85
74,104
68,98
71,135
69,98
84,137
69,100
63,179
79,104
67,91
83,114
84,125
93,116
92,120
94,118
97,115
102,138
96,112
100,119
105,125
100,117
95,118
86,105
90,164
92,108
111,134
99,140
96,110
102,117
100,122
100,124
103,121
98,125
105,131
100,117
93,113
99,113
63,79
66,111
68,98
70,143
65,94
67,93
73,98
66,93
61,88
63,114
63,125
69,98
73,109
77,111
75,103
65,90
70,94
73,116
74,92
73,98
70,107
65,118
70,127
71,120
73,101
67,105
67,111
73,125
144,166
37,100
36,87
40,80
41,94
187,214
176,201
200,217
170,186
182,198
180,210
176,199
166,217
165,181
193,244
193,205
202,227
188,202
184,216
177,202
132,186
134,191
146,183
131,158
145,179
141,163
32,51
108,137
108,137
101,147
106,129
101,153
100,130
99,123
98,138
98,120
101,121
120,172
96,119
92,121
92,109
96,120
99,125
110,182
93,120
100,121
102,123
97,166
99,122
