UniqueCarrier,s
FL,10.4619921363041
VX,10.6236933797909
F9,12.9125151883354
WN,13.1731503859047
OO,14.5586303006172
US,14.7192364714603
AS,15.7186030893217
UA,16.6596321977691
YV,16.95149464185
MQ,17.5200879228233
AA,17.7268122060065
EV,20.132720915884
B6,20.7864532019704
DL,23.1694764862467
9E,27.9856706600893
HA,48.0727272727273
