UniqueCarrier,s
HA,0.311363636363636
WN,7.36423169876043
YV,10.1861252115059
AA,11.3991074659269
OO,11.8043002189926
B6,13.3854679802956
9E,13.461592670895
AS,13.9462726662189
EV,14.5830534037156
MQ,14.6992306752961
UA,15.0437141995779
F9,15.4483596597813
DL,15.8620230700976
US,17.2286879169755
FL,17.3951507208388
VX,19.7456445993031
