x,y
15228,13.2249802994484
18097,12.2812620876388
17758,11.6184818110148
17678,8.00090507976015
13963,9.39010241352145
16440,9.09714111922141
17396,6.50362152218901
16365,7.35759242285365
16758,6.8671082468075
17438,7.0399128340406
17471,9.17360196897716
13346,7.90618912033568
16129,13.0899001798004
17261,9.49858061525983
16295,6.12058913777232
16723,12.2872690306763
17406,7.75433758474089
17431,7.82789283460501
13206,5.16068453733152
15213,10.9483993952541
17084,9.8289627721845
16277,8.39282423050931
16708,8.81392147474264
17403,13.2494972131242
17416,15.6306844281121
13270,8.97385079125848
16107,12.1563916309679
17238,11.3064160575473
16285,11.7571384709856
16709,20.9320126877731
17420,13.9057405281286
