UniqueCarrier,a
VX,3.95271867612293
HA,4.86208625877633
FL,4.93711225755894
AS,5.51214642262895
US,6.55590311913486
DL,7.23825679409604
WN,8.43102423487984
UA,10.2338751577229
YV,10.4708368554522
OO,10.5841157605966
AA,11.1546557260079
9E,12.1281173387438
B6,12.5541962573221
MQ,13.1131775130661
F9,13.1735010337698
EV,16.8642938516243
