x,y
15,0
30,0
43,0
57,57
32,29
66,66
22,0
22,22
129,7
17,0
43,0
79,0
18,12
18,7
26,0
19,0
115,16
20,0
16,11
18,0
28,0
40,0
21,0
113,21
16,0
25,0
30,0
17,0
97,0
213,0
177,0
29,12
24,0
23,16
45,0
20,0
27,19
92,72
35,30
19,18
38,32
43,1
164,164
40,35
59,59
20,0
23,11
87,68
295,269
61,0
122,122
18,0
121,0
15,15
17,0
17,0
29,0
16,1
17,0
15,0
55,0
59,0
55,44
110,110
54,0
17,0
687,0
17,0
112,108
109,45
20,0
116,112
19,0
24,0
17,17
64,64
24,0
17,0
47,0
174,174
16,0
187,187
80,78
15,0
16,1
20,8
174,0
25,0
101,93
20,0
18,0
33,0
19,19
32,0
23,0
66,54
34,0
20,14
40,40
55,0
46,33
67,0
113,14
37,16
30,30
34,34
41,41
105,0
170,113
15,15
37,0
100,0
24,13
40,0
42,0
15,0
40,24
21,5
25,0
26,26
99,85
48,30
20,20
65,0
258,244
18,0
35,35
22,3
100,1
27,0
255,249
18,10
16,5
32,0
31,19
37,0
23,0
67,67
104,104
28,18
21,0
215,208
159,0
124,42
23,0
83,83
29,0
17,0
919,3
151,0
73,0
147,0
16,0
21,0
758,0
185,0
42,4
40,0
431,0
17,0
28,0
25,20
20,0
48,48
53,18
30,0
203,0
33,33
15,0
30,0
28,0
26,0
46,11
20,0
245,88
20,7
24,0
41,0
38,28
97,0
47,0
34,0
17,0
62,0
25,0
20,14
135,0
18,0
163,160
37,37
21,0
46,0
44,0
112,112
140,140
67,37
28,14
16,0
95,0
19,0
15,0
