UniqueCarrier,s
VX,0.0472813238770686
HA,0.0501504513540622
YV,0.0657462195923734
FL,0.0783647880885522
WN,0.0975675402886653
F9,0.103376981392143
US,0.119164655763101
DL,0.187121821552237
UA,0.195452633662386
AA,0.2095968605066
9E,0.249387099501226
MQ,0.267954262064574
B6,0.300658338085117
AS,0.307820299500832
EV,0.381468567680464
OO,0.421158378733434
